merchant_id,merchant_category,merchant_risk_score,channel_default
M100758,Grocery,0.45,Card Present
M100759,Telecom,0.162,Card Present
M100760,Luxury,0.067,Online Banking
M100761,Utilities,0.08,P2P
M100762,Gaming,0.134,Card Not Present
M100763,Utilities,0.147,Card Not Present
M100764,Luxury,0.201,P2P
M100765,Marketplace,0.213,Card Present
M100766,Grocery,0.168,Card Not Present
M100767,Fuel,0.354,Card Present
M100768,Gaming,0.033,Wire
M100769,Electronics,0.053,Card Present
M100770,Telecom,0.198,P2P
M100771,Telecom,0.319,Online Banking
M100772,Gaming,0.686,Card Not Present
M100773,Utilities,0.376,Online Banking
M100774,Travel,0.181,Card Present
M100775,Fuel,0.427,Card Present
M100776,Telecom,0.378,Card Not Present
M100777,Electronics,0.292,Card Present
M100778,Utilities,0.114,Card Present
M100779,Gaming,0.513,Online Banking
M100780,Digital Wallet,0.313,Card Not Present
M100781,Utilities,0.08,Online Banking
M100782,Fuel,0.213,Online Banking
M100783,Fuel,0.225,Wire
M100784,Utilities,0.08,Card Present
M100785,Grocery,0.366,Card Present
M100786,Utilities,0.244,Card Present
M100787,Telecom,0.332,Wire
M100788,Electronics,0.291,Wire
M100789,Electronics,0.299,Card Present
M100790,Fuel,0.165,Card Present
M100791,Utilities,0.397,Card Not Present
M100792,Luxury,0.241,P2P
M100793,Travel,0.625,Card Present
M100794,Grocery,0.329,P2P
M100795,Grocery,0.071,P2P
M100796,Grocery,0.176,Wire
M100797,Digital Wallet,0.508,Card Not Present
M100798,Grocery,0.191,Wire
M100799,Telecom,0.138,Wire
M100800,Luxury,0.078,Wire
M100801,Marketplace,0.078,Wire
M100802,Gaming,0.159,P2P
M100803,Fuel,0.474,Card Not Present
M100804,Grocery,0.286,Online Banking
M100805,Utilities,0.355,Wire
M100806,Grocery,0.183,Wire
M100807,Utilities,0.221,Card Not Present
M100808,Gaming,0.451,Wire
M100809,Grocery,0.266,Wire
M100810,Gaming,0.046,Online Banking
M100811,Luxury,0.521,Wire
M100812,Digital Wallet,0.66,Card Not Present
M100813,Luxury,0.143,Card Not Present
M100814,Grocery,0.313,Online Banking
M100815,Grocery,0.094,P2P
M100816,Marketplace,0.502,Wire
M100817,Utilities,0.721,Online Banking
M100818,Gaming,0.1,Wire
M100819,Digital Wallet,0.25,Card Present
M100820,Electronics,0.337,Wire
M100821,Grocery,0.088,Online Banking
M100822,Fuel,0.077,Card Not Present
M100823,Grocery,0.091,Online Banking
M100824,Fuel,0.461,P2P
M100825,Grocery,0.16,Card Present
M100826,Electronics,0.251,Online Banking
M100827,Fuel,0.113,P2P
M100828,Electronics,0.269,Card Present
M100829,Grocery,0.415,Online Banking
M100830,Fuel,0.309,Wire
M100831,Digital Wallet,0.072,Card Not Present
M100832,Utilities,0.483,Card Not Present
M100833,Gaming,0.191,Online Banking
M100834,Utilities,0.053,Card Not Present
M100835,Telecom,0.131,P2P
M100836,Gaming,0.282,P2P
M100837,Luxury,0.135,Card Not Present
M100838,Telecom,0.561,Online Banking
M100839,Luxury,0.673,P2P
M100840,Travel,0.058,Card Present
M100841,Electronics,0.229,Wire
M100842,Fuel,0.341,Online Banking
M100843,Electronics,0.39,Card Present
M100844,Gaming,0.413,P2P
M100845,Luxury,0.609,Card Not Present
M100846,Utilities,0.155,Card Present
M100847,Digital Wallet,0.363,P2P
M100848,Electronics,0.264,Card Present
M100849,Fuel,0.06,Card Not Present
M100850,Electronics,0.469,Wire
M100851,Marketplace,0.145,Card Present
M100852,Luxury,0.604,Card Not Present
M100853,Electronics,0.052,P2P
M100854,Digital Wallet,0.291,Card Not Present
M100855,Telecom,0.24,Wire
M100856,Grocery,0.163,Wire
M100857,Digital Wallet,0.612,Card Not Present
M100858,Gaming,0.171,Wire
M100859,Grocery,0.353,Card Present
M100860,Luxury,0.292,Wire
M100861,Marketplace,0.247,Card Present
M100862,Marketplace,0.316,Online Banking
M100863,Luxury,0.359,Wire
M100864,Luxury,0.136,Card Present
M100865,Digital Wallet,0.308,Online Banking
M100866,Travel,0.213,Online Banking
M100867,Marketplace,0.187,Online Banking
M100868,Gaming,0.323,P2P
M100869,Telecom,0.072,Wire
M100870,Travel,0.618,Card Present
M100871,Telecom,0.281,P2P
M100872,Telecom,0.39,P2P
M100873,Electronics,0.377,Card Present
M100874,Travel,0.158,Card Not Present
M100875,Electronics,0.177,Card Present
M100876,Gaming,0.174,Online Banking
M100877,Gaming,0.19,Online Banking
M100878,Travel,0.425,P2P
M100879,Gaming,0.097,Online Banking
M100880,Utilities,0.554,Card Not Present
M100881,Digital Wallet,0.162,P2P
M100882,Travel,0.449,Card Not Present
M100883,Electronics,0.315,Online Banking
M100884,Telecom,0.079,Online Banking
M100885,Fuel,0.442,P2P
M100886,Marketplace,0.365,Card Not Present
M100887,Electronics,0.148,Card Present
M100888,Digital Wallet,0.519,Wire
M100889,Telecom,0.319,Wire
M100890,Gaming,0.092,Card Present
M100891,Fuel,0.203,Wire
M100892,Telecom,0.071,Online Banking
M100893,Travel,0.578,Card Not Present
M100894,Gaming,0.302,P2P
M100895,Luxury,0.109,P2P
M100896,Telecom,0.021,Card Present
M100897,Electronics,0.209,Wire
M100898,Luxury,0.637,Online Banking
M100899,Fuel,0.218,Card Not Present
M100900,Gaming,0.101,P2P
M100901,Luxury,0.191,P2P
M100902,Electronics,0.136,Online Banking
M100903,Digital Wallet,0.117,Wire
M100904,Fuel,0.19,Online Banking
M100905,Luxury,0.304,P2P
M100906,Grocery,0.137,Card Present
M100907,Gaming,0.388,Card Present
M100908,Gaming,0.083,P2P
M100909,Grocery,0.058,Card Present
M100910,Gaming,0.069,Online Banking
M100911,Digital Wallet,0.228,Card Present
M100912,Fuel,0.398,Card Present
M100913,Electronics,0.012,Wire
M100914,Gaming,0.487,Card Present
M100915,Fuel,0.188,Card Present
M100916,Travel,0.427,Card Not Present
M100917,Telecom,0.475,P2P
M100918,Telecom,0.561,P2P
M100919,Telecom,0.374,P2P
M100920,Luxury,0.261,Wire
M100921,Fuel,0.479,Online Banking
M100922,Fuel,0.23,P2P
M100923,Grocery,0.44,Online Banking
M100924,Gaming,0.074,Card Not Present
M100925,Grocery,0.364,Wire
M100926,Fuel,0.122,Online Banking
M100927,Fuel,0.075,Card Present
M100928,Grocery,0.271,Card Present
M100929,Utilities,0.07,Card Not Present
M100930,Grocery,0.299,P2P
M100931,Electronics,0.148,P2P
M100932,Telecom,0.176,P2P
M100933,Gaming,0.377,Card Present
M100934,Digital Wallet,0.163,Wire
M100935,Marketplace,0.583,P2P
M100936,Marketplace,0.263,Card Not Present
M100937,Utilities,0.175,Wire
M100938,Gaming,0.024,P2P
M100939,Utilities,0.216,Card Present
M100940,Digital Wallet,0.135,Online Banking
M100941,Grocery,0.183,P2P
M100942,Luxury,0.155,Online Banking
M100943,Gaming,0.295,Card Present
M100944,Utilities,0.111,Card Not Present
M100945,Gaming,0.249,Card Not Present
M100946,Marketplace,0.12,Wire
M100947,Electronics,0.02,Card Present
M100948,Travel,0.309,Online Banking
M100949,Digital Wallet,0.478,Card Not Present
M100950,Travel,0.07,Card Present
M100951,Grocery,0.567,Online Banking
M100952,Electronics,0.475,Card Not Present
M100953,Electronics,0.121,P2P
M100954,Gaming,0.232,P2P
M100955,Luxury,0.206,Card Present
M100956,Electronics,0.443,Card Not Present
M100957,Luxury,0.077,Online Banking
M100958,Electronics,0.286,Card Not Present
M100959,Electronics,0.075,Card Present
M100960,Electronics,0.528,Card Not Present
M100961,Marketplace,0.247,Card Not Present
M100962,Travel,0.37,Card Present
M100963,Fuel,0.121,Wire
M100964,Utilities,0.234,Online Banking
M100965,Luxury,0.054,Card Present
M100966,Electronics,0.259,Card Present
M100967,Travel,0.458,Wire
M100968,Utilities,0.269,Wire
M100969,Grocery,0.193,P2P
M100970,Luxury,0.073,Card Not Present
M100971,Luxury,0.097,Card Present
M100972,Luxury,0.068,Wire
M100973,Utilities,0.121,P2P
M100974,Electronics,0.117,P2P
M100975,Digital Wallet,0.068,Wire
M100976,Luxury,0.632,P2P
M100977,Marketplace,0.063,Online Banking
M100978,Grocery,0.45,Card Present
M100979,Telecom,0.162,Card Present
M100980,Luxury,0.067,Online Banking
M100981,Utilities,0.08,P2P
M100982,Gaming,0.134,Card Not Present
M100983,Utilities,0.147,Card Not Present
M100984,Luxury,0.201,P2P
M100985,Marketplace,0.213,Card Present
M100986,Grocery,0.168,Card Not Present
M100987,Fuel,0.354,Card Present
M100988,Gaming,0.033,Wire
M100989,Electronics,0.053,Card Present
M100990,Telecom,0.198,P2P
M100991,Telecom,0.319,Online Banking
M100992,Gaming,0.686,Card Not Present
M100993,Utilities,0.376,Online Banking
M100994,Travel,0.181,Card Present
M100995,Fuel,0.427,Card Present
M100996,Telecom,0.378,Card Not Present
M100997,Electronics,0.292,Card Present
M100998,Utilities,0.114,Card Present
M100999,Gaming,0.513,Online Banking
M101000,Digital Wallet,0.313,Card Not Present
M101001,Utilities,0.08,Online Banking
M101002,Fuel,0.213,Online Banking
M101003,Fuel,0.225,Wire
M101004,Utilities,0.08,Card Present
M101005,Grocery,0.366,Card Present
M101006,Utilities,0.244,Card Present
M101007,Telecom,0.332,Wire
M101008,Electronics,0.291,Wire
M101009,Electronics,0.299,Card Present
M101010,Fuel,0.165,Card Present
M101011,Utilities,0.397,Card Not Present
M101012,Luxury,0.241,P2P
M101013,Travel,0.625,Card Present
M101014,Grocery,0.329,P2P
M101015,Grocery,0.071,P2P
M101016,Grocery,0.176,Wire
M101017,Digital Wallet,0.508,Card Not Present
M101018,Grocery,0.191,Wire
M101019,Telecom,0.138,Wire
M101020,Luxury,0.078,Wire
M101021,Marketplace,0.078,Wire
M101022,Gaming,0.159,P2P
M101023,Fuel,0.474,Card Not Present
M101024,Grocery,0.286,Online Banking
M101025,Utilities,0.355,Wire
M101026,Grocery,0.183,Wire
M101027,Utilities,0.221,Card Not Present
M101028,Gaming,0.451,Wire
M101029,Grocery,0.266,Wire
M101030,Gaming,0.046,Online Banking
M101031,Luxury,0.521,Wire
M101032,Digital Wallet,0.66,Card Not Present
M101033,Luxury,0.143,Card Not Present
M101034,Grocery,0.313,Online Banking
M101035,Grocery,0.094,P2P
M101036,Marketplace,0.502,Wire
M101037,Utilities,0.721,Online Banking
M101038,Gaming,0.1,Wire
M101039,Digital Wallet,0.25,Card Present
M101040,Electronics,0.337,Wire
M101041,Grocery,0.088,Online Banking
M101042,Fuel,0.077,Card Not Present
M101043,Grocery,0.091,Online Banking
M101044,Fuel,0.461,P2P
M101045,Grocery,0.16,Card Present
M101046,Electronics,0.251,Online Banking
M101047,Fuel,0.113,P2P
M101048,Electronics,0.269,Card Present
M101049,Grocery,0.415,Online Banking
M101050,Fuel,0.309,Wire
M101051,Digital Wallet,0.072,Card Not Present
M101052,Utilities,0.483,Card Not Present
M101053,Gaming,0.191,Online Banking
M101054,Utilities,0.053,Card Not Present
M101055,Telecom,0.131,P2P
M101056,Gaming,0.282,P2P
M101057,Luxury,0.135,Card Not Present
M101058,Telecom,0.561,Online Banking
M101059,Luxury,0.673,P2P
M101060,Travel,0.058,Card Present
M101061,Electronics,0.229,Wire
M101062,Fuel,0.341,Online Banking
M101063,Electronics,0.39,Card Present
M101064,Gaming,0.413,P2P
M101065,Luxury,0.609,Card Not Present
M101066,Utilities,0.155,Card Present
M101067,Digital Wallet,0.363,P2P
M101068,Electronics,0.264,Card Present
M101069,Fuel,0.06,Card Not Present
M101070,Electronics,0.469,Wire
M101071,Marketplace,0.145,Card Present
M101072,Luxury,0.604,Card Not Present
M101073,Electronics,0.052,P2P
M101074,Digital Wallet,0.291,Card Not Present
M101075,Telecom,0.24,Wire
M101076,Grocery,0.163,Wire
M101077,Digital Wallet,0.612,Card Not Present
M101078,Gaming,0.171,Wire
M101079,Grocery,0.353,Card Present
M101080,Luxury,0.292,Wire
M101081,Marketplace,0.247,Card Present
M101082,Marketplace,0.316,Online Banking
M101083,Luxury,0.359,Wire
M101084,Luxury,0.136,Card Present
M101085,Digital Wallet,0.308,Online Banking
M101086,Travel,0.213,Online Banking
M101087,Marketplace,0.187,Online Banking
M101088,Gaming,0.323,P2P
M101089,Telecom,0.072,Wire
M101090,Travel,0.618,Card Present
M101091,Telecom,0.281,P2P
M101092,Telecom,0.39,P2P
M101093,Electronics,0.377,Card Present
M101094,Travel,0.158,Card Not Present
M101095,Electronics,0.177,Card Present
M101096,Gaming,0.174,Online Banking
M101097,Gaming,0.19,Online Banking
M101098,Travel,0.425,P2P
M101099,Gaming,0.097,Online Banking
M101100,Utilities,0.554,Card Not Present
M101101,Digital Wallet,0.162,P2P
M101102,Travel,0.449,Card Not Present
M101103,Electronics,0.315,Online Banking
M101104,Telecom,0.079,Online Banking
M101105,Fuel,0.442,P2P
M101106,Marketplace,0.365,Card Not Present
M101107,Electronics,0.148,Card Present
M101108,Digital Wallet,0.519,Wire
M101109,Telecom,0.319,Wire
M101110,Gaming,0.092,Card Present
M101111,Fuel,0.203,Wire
M101112,Telecom,0.071,Online Banking
M101113,Travel,0.578,Card Not Present
M101114,Gaming,0.302,P2P
M101115,Luxury,0.109,P2P
M101116,Telecom,0.021,Card Present
M101117,Electronics,0.209,Wire
M101118,Luxury,0.637,Online Banking
M101119,Fuel,0.218,Card Not Present
M101120,Gaming,0.101,P2P
M101121,Luxury,0.191,P2P
M101122,Electronics,0.136,Online Banking
M101123,Digital Wallet,0.117,Wire
M101124,Fuel,0.19,Online Banking
M101125,Luxury,0.304,P2P
M101126,Grocery,0.137,Card Present
M101127,Gaming,0.388,Card Present
M101128,Gaming,0.083,P2P
M101129,Grocery,0.058,Card Present
M101130,Gaming,0.069,Online Banking
M101131,Digital Wallet,0.228,Card Present
M101132,Fuel,0.398,Card Present
M101133,Electronics,0.012,Wire
M101134,Gaming,0.487,Card Present
M101135,Fuel,0.188,Card Present
M101136,Travel,0.427,Card Not Present
M101137,Telecom,0.475,P2P
M101138,Telecom,0.561,P2P
M101139,Telecom,0.374,P2P
M101140,Luxury,0.261,Wire
M101141,Fuel,0.479,Online Banking
M101142,Fuel,0.23,P2P
M101143,Grocery,0.44,Online Banking
M101144,Gaming,0.074,Card Not Present
M101145,Grocery,0.364,Wire
M101146,Fuel,0.122,Online Banking
M101147,Fuel,0.075,Card Present
M101148,Grocery,0.271,Card Present
M101149,Utilities,0.07,Card Not Present
M101150,Grocery,0.299,P2P
M101151,Electronics,0.148,P2P
M101152,Telecom,0.176,P2P
M101153,Gaming,0.377,Card Present
M101154,Digital Wallet,0.163,Wire
M101155,Marketplace,0.583,P2P
M101156,Marketplace,0.263,Card Not Present
M101157,Utilities,0.175,Wire
M101158,Gaming,0.024,P2P
M101159,Utilities,0.216,Card Present
M101160,Digital Wallet,0.135,Online Banking
M101161,Grocery,0.183,P2P
M101162,Luxury,0.155,Online Banking
M101163,Gaming,0.295,Card Present
M101164,Utilities,0.111,Card Not Present
M101165,Gaming,0.249,Card Not Present
M101166,Marketplace,0.12,Wire
M101167,Electronics,0.02,Card Present
M101168,Travel,0.309,Online Banking
M101169,Digital Wallet,0.478,Card Not Present
M101170,Travel,0.07,Card Present
M101171,Grocery,0.567,Online Banking
M101172,Electronics,0.475,Card Not Present
M101173,Electronics,0.121,P2P
M101174,Gaming,0.232,P2P
M101175,Luxury,0.206,Card Present
M101176,Electronics,0.443,Card Not Present
M101177,Luxury,0.077,Online Banking
M101178,Electronics,0.286,Card Not Present
M101179,Electronics,0.075,Card Present
M101180,Electronics,0.528,Card Not Present
M101181,Marketplace,0.247,Card Not Present
M101182,Travel,0.37,Card Present
M101183,Fuel,0.121,Wire
M101184,Utilities,0.234,Online Banking
M101185,Luxury,0.054,Card Present
M101186,Electronics,0.259,Card Present
M101187,Travel,0.458,Wire
M101188,Utilities,0.269,Wire
M101189,Grocery,0.193,P2P
M101190,Luxury,0.073,Card Not Present
M101191,Luxury,0.097,Card Present
M101192,Luxury,0.068,Wire
M101193,Utilities,0.121,P2P
M101194,Electronics,0.117,P2P
M101195,Digital Wallet,0.068,Wire
M101196,Luxury,0.632,P2P
M101197,Marketplace,0.063,Online Banking
M101198,Grocery,0.45,Card Present
M101199,Telecom,0.162,Card Present
M101200,Luxury,0.067,Online Banking
M101201,Utilities,0.08,P2P
M101202,Gaming,0.134,Card Not Present
M101203,Utilities,0.147,Card Not Present
M101204,Luxury,0.201,P2P
M101205,Marketplace,0.213,Card Present
M101206,Grocery,0.168,Card Not Present
M101207,Fuel,0.354,Card Present
M101208,Gaming,0.033,Wire
M101209,Electronics,0.053,Card Present
M101210,Telecom,0.198,P2P
M101211,Telecom,0.319,Online Banking
M101212,Gaming,0.686,Card Not Present
M101213,Utilities,0.376,Online Banking
M101214,Travel,0.181,Card Present
M101215,Fuel,0.427,Card Present
M101216,Telecom,0.378,Card Not Present
M101217,Electronics,0.292,Card Present
M101218,Utilities,0.114,Card Present
M101219,Gaming,0.513,Online Banking
M101220,Digital Wallet,0.313,Card Not Present
M101221,Utilities,0.08,Online Banking
M101222,Fuel,0.213,Online Banking
M101223,Fuel,0.225,Wire
M101224,Utilities,0.08,Card Present
M101225,Grocery,0.366,Card Present
M101226,Utilities,0.244,Card Present
M101227,Telecom,0.332,Wire
M101228,Electronics,0.291,Wire
M101229,Electronics,0.299,Card Present
M101230,Fuel,0.165,Card Present
M101231,Utilities,0.397,Card Not Present
M101232,Luxury,0.241,P2P
M101233,Travel,0.625,Card Present
M101234,Grocery,0.329,P2P
M101235,Grocery,0.071,P2P
M101236,Grocery,0.176,Wire
M101237,Digital Wallet,0.508,Card Not Present
M101238,Grocery,0.191,Wire
M101239,Telecom,0.138,Wire
M101240,Luxury,0.078,Wire
M101241,Marketplace,0.078,Wire
M101242,Gaming,0.159,P2P
M101243,Fuel,0.474,Card Not Present
M101244,Grocery,0.286,Online Banking
M101245,Utilities,0.355,Wire
M101246,Grocery,0.183,Wire
M101247,Utilities,0.221,Card Not Present
M101248,Gaming,0.451,Wire
M101249,Grocery,0.266,Wire
M101250,Gaming,0.046,Online Banking
M101251,Luxury,0.521,Wire
M101252,Digital Wallet,0.66,Card Not Present
M101253,Luxury,0.143,Card Not Present
M101254,Grocery,0.313,Online Banking
M101255,Grocery,0.094,P2P
M101256,Marketplace,0.502,Wire
M101257,Utilities,0.721,Online Banking
M101258,Gaming,0.1,Wire
M101259,Digital Wallet,0.25,Card Present
M101260,Electronics,0.337,Wire
M101261,Grocery,0.088,Online Banking
M101262,Fuel,0.077,Card Not Present
M101263,Grocery,0.091,Online Banking
M101264,Fuel,0.461,P2P
M101265,Grocery,0.16,Card Present
M101266,Electronics,0.251,Online Banking
M101267,Fuel,0.113,P2P
M101268,Electronics,0.269,Card Present
M101269,Grocery,0.415,Online Banking
M101270,Fuel,0.309,Wire
M101271,Digital Wallet,0.072,Card Not Present
M101272,Utilities,0.483,Card Not Present
M101273,Gaming,0.191,Online Banking
M101274,Utilities,0.053,Card Not Present
M101275,Telecom,0.131,P2P
M101276,Gaming,0.282,P2P
M101277,Luxury,0.135,Card Not Present
M101278,Telecom,0.561,Online Banking
M101279,Luxury,0.673,P2P
M101280,Travel,0.058,Card Present
M101281,Electronics,0.229,Wire
M101282,Fuel,0.341,Online Banking
M101283,Electronics,0.39,Card Present
M101284,Gaming,0.413,P2P
M101285,Luxury,0.609,Card Not Present
M101286,Utilities,0.155,Card Present
M101287,Digital Wallet,0.363,P2P
M101288,Electronics,0.264,Card Present
M101289,Fuel,0.06,Card Not Present
M101290,Electronics,0.469,Wire
M101291,Marketplace,0.145,Card Present
M101292,Luxury,0.604,Card Not Present
M101293,Electronics,0.052,P2P
M101294,Digital Wallet,0.291,Card Not Present
M101295,Telecom,0.24,Wire
M101296,Grocery,0.163,Wire
M101297,Digital Wallet,0.612,Card Not Present
M101298,Gaming,0.171,Wire
M101299,Grocery,0.353,Card Present
M101300,Luxury,0.292,Wire
M101301,Marketplace,0.247,Card Present
M101302,Marketplace,0.316,Online Banking
M101303,Luxury,0.359,Wire
M101304,Luxury,0.136,Card Present
M101305,Digital Wallet,0.308,Online Banking
M101306,Travel,0.213,Online Banking
M101307,Marketplace,0.187,Online Banking
M101308,Gaming,0.323,P2P
M101309,Telecom,0.072,Wire
M101310,Travel,0.618,Card Present
M101311,Telecom,0.281,P2P
M101312,Telecom,0.39,P2P
M101313,Electronics,0.377,Card Present
M101314,Travel,0.158,Card Not Present
M101315,Electronics,0.177,Card Present
M101316,Gaming,0.174,Online Banking
M101317,Gaming,0.19,Online Banking
M101318,Travel,0.425,P2P
M101319,Gaming,0.097,Online Banking
M101320,Utilities,0.554,Card Not Present
M101321,Digital Wallet,0.162,P2P
M101322,Travel,0.449,Card Not Present
M101323,Electronics,0.315,Online Banking
M101324,Telecom,0.079,Online Banking
M101325,Fuel,0.442,P2P
M101326,Marketplace,0.365,Card Not Present
M101327,Electronics,0.148,Card Present
M101328,Digital Wallet,0.519,Wire
M101329,Telecom,0.319,Wire
M101330,Gaming,0.092,Card Present
M101331,Fuel,0.203,Wire
M101332,Telecom,0.071,Online Banking
M101333,Travel,0.578,Card Not Present
M101334,Gaming,0.302,P2P
M101335,Luxury,0.109,P2P
M101336,Telecom,0.021,Card Present
M101337,Electronics,0.209,Wire
M101338,Luxury,0.637,Online Banking
M101339,Fuel,0.218,Card Not Present
M101340,Gaming,0.101,P2P
M101341,Luxury,0.191,P2P
M101342,Electronics,0.136,Online Banking
M101343,Digital Wallet,0.117,Wire
M101344,Fuel,0.19,Online Banking
M101345,Luxury,0.304,P2P
M101346,Grocery,0.137,Card Present
M101347,Gaming,0.388,Card Present
M101348,Gaming,0.083,P2P
M101349,Grocery,0.058,Card Present
M101350,Gaming,0.069,Online Banking
M101351,Digital Wallet,0.228,Card Present
M101352,Fuel,0.398,Card Present
M101353,Electronics,0.012,Wire
M101354,Gaming,0.487,Card Present
M101355,Fuel,0.188,Card Present
M101356,Travel,0.427,Card Not Present
M101357,Telecom,0.475,P2P
M101358,Telecom,0.561,P2P
M101359,Telecom,0.374,P2P
M101360,Luxury,0.261,Wire
M101361,Fuel,0.479,Online Banking
M101362,Fuel,0.23,P2P
M101363,Grocery,0.44,Online Banking
M101364,Gaming,0.074,Card Not Present
M101365,Grocery,0.364,Wire
M101366,Fuel,0.122,Online Banking
M101367,Fuel,0.075,Card Present
M101368,Grocery,0.271,Card Present
M101369,Utilities,0.07,Card Not Present
M101370,Grocery,0.299,P2P
M101371,Electronics,0.148,P2P
M101372,Telecom,0.176,P2P
M101373,Gaming,0.377,Card Present
M101374,Digital Wallet,0.163,Wire
M101375,Marketplace,0.583,P2P
M101376,Marketplace,0.263,Card Not Present
M101377,Utilities,0.175,Wire
M101378,Gaming,0.024,P2P
M101379,Utilities,0.216,Card Present
M101380,Digital Wallet,0.135,Online Banking
M101381,Grocery,0.183,P2P
M101382,Luxury,0.155,Online Banking
M101383,Gaming,0.295,Card Present
M101384,Utilities,0.111,Card Not Present
M101385,Gaming,0.249,Card Not Present
M101386,Marketplace,0.12,Wire
M101387,Electronics,0.02,Card Present
M101388,Travel,0.309,Online Banking
M101389,Digital Wallet,0.478,Card Not Present
M101390,Travel,0.07,Card Present
M101391,Grocery,0.567,Online Banking
M101392,Electronics,0.475,Card Not Present
M101393,Electronics,0.121,P2P
M101394,Gaming,0.232,P2P
M101395,Luxury,0.206,Card Present
M101396,Electronics,0.443,Card Not Present
M101397,Luxury,0.077,Online Banking
M101398,Electronics,0.286,Card Not Present
M101399,Electronics,0.075,Card Present
M101400,Electronics,0.528,Card Not Present
M101401,Marketplace,0.247,Card Not Present
M101402,Travel,0.37,Card Present
M101403,Fuel,0.121,Wire
M101404,Utilities,0.234,Online Banking
M101405,Luxury,0.054,Card Present
M101406,Electronics,0.259,Card Present
M101407,Travel,0.458,Wire
M101408,Utilities,0.269,Wire
M101409,Grocery,0.193,P2P
M101410,Luxury,0.073,Card Not Present
M101411,Luxury,0.097,Card Present
M101412,Luxury,0.068,Wire
M101413,Utilities,0.121,P2P
M101414,Electronics,0.117,P2P
M101415,Digital Wallet,0.068,Wire
M101416,Luxury,0.632,P2P
M101417,Marketplace,0.063,Online Banking
M101418,Grocery,0.45,Card Present
M101419,Telecom,0.162,Card Present
M101420,Luxury,0.067,Online Banking
M101421,Utilities,0.08,P2P
M101422,Gaming,0.134,Card Not Present
M101423,Utilities,0.147,Card Not Present
M101424,Luxury,0.201,P2P
M101425,Marketplace,0.213,Card Present
M101426,Grocery,0.168,Card Not Present
M101427,Fuel,0.354,Card Present
M101428,Gaming,0.033,Wire
M101429,Electronics,0.053,Card Present
M101430,Telecom,0.198,P2P
M101431,Telecom,0.319,Online Banking
M101432,Gaming,0.686,Card Not Present
M101433,Utilities,0.376,Online Banking
M101434,Travel,0.181,Card Present
M101435,Fuel,0.427,Card Present
M101436,Telecom,0.378,Card Not Present
M101437,Electronics,0.292,Card Present
M101438,Utilities,0.114,Card Present
M101439,Gaming,0.513,Online Banking
M101440,Digital Wallet,0.313,Card Not Present
M101441,Utilities,0.08,Online Banking
M101442,Fuel,0.213,Online Banking
M101443,Fuel,0.225,Wire
M101444,Utilities,0.08,Card Present
M101445,Grocery,0.366,Card Present
M101446,Utilities,0.244,Card Present
M101447,Telecom,0.332,Wire
M101448,Electronics,0.291,Wire
M101449,Electronics,0.299,Card Present
M101450,Fuel,0.165,Card Present
M101451,Utilities,0.397,Card Not Present
M101452,Luxury,0.241,P2P
M101453,Travel,0.625,Card Present
M101454,Grocery,0.329,P2P
M101455,Grocery,0.071,P2P
M101456,Grocery,0.176,Wire
M101457,Digital Wallet,0.508,Card Not Present
M101458,Grocery,0.191,Wire
M101459,Telecom,0.138,Wire
M101460,Luxury,0.078,Wire
M101461,Marketplace,0.078,Wire
M101462,Gaming,0.159,P2P
M101463,Fuel,0.474,Card Not Present
M101464,Grocery,0.286,Online Banking
M101465,Utilities,0.355,Wire
M101466,Grocery,0.183,Wire
M101467,Utilities,0.221,Card Not Present
M101468,Gaming,0.451,Wire
M101469,Grocery,0.266,Wire
M101470,Gaming,0.046,Online Banking
M101471,Luxury,0.521,Wire
M101472,Digital Wallet,0.66,Card Not Present
M101473,Luxury,0.143,Card Not Present
M101474,Grocery,0.313,Online Banking
M101475,Grocery,0.094,P2P
M101476,Marketplace,0.502,Wire
M101477,Utilities,0.721,Online Banking
M101478,Gaming,0.1,Wire
M101479,Digital Wallet,0.25,Card Present
M101480,Electronics,0.337,Wire
M101481,Grocery,0.088,Online Banking
M101482,Fuel,0.077,Card Not Present
M101483,Grocery,0.091,Online Banking
M101484,Fuel,0.461,P2P
M101485,Grocery,0.16,Card Present
M101486,Electronics,0.251,Online Banking
M101487,Fuel,0.113,P2P
M101488,Electronics,0.269,Card Present
M101489,Grocery,0.415,Online Banking
M101490,Fuel,0.309,Wire
M101491,Digital Wallet,0.072,Card Not Present
M101492,Utilities,0.483,Card Not Present
M101493,Gaming,0.191,Online Banking
M101494,Utilities,0.053,Card Not Present
M101495,Telecom,0.131,P2P
M101496,Gaming,0.282,P2P
M101497,Luxury,0.135,Card Not Present
M101498,Telecom,0.561,Online Banking
M101499,Luxury,0.673,P2P
M101500,Travel,0.058,Card Present
M101501,Electronics,0.229,Wire
M101502,Fuel,0.341,Online Banking
M101503,Electronics,0.39,Card Present
M101504,Gaming,0.413,P2P
M101505,Luxury,0.609,Card Not Present
M101506,Utilities,0.155,Card Present
M101507,Digital Wallet,0.363,P2P
M101508,Electronics,0.264,Card Present
M101509,Fuel,0.06,Card Not Present
M101510,Electronics,0.469,Wire
M101511,Marketplace,0.145,Card Present
M101512,Luxury,0.604,Card Not Present
M101513,Electronics,0.052,P2P
M101514,Digital Wallet,0.291,Card Not Present
M101515,Telecom,0.24,Wire
M101516,Grocery,0.163,Wire
