transaction_id,event_ts,customer_id,merchant_id,channel,transaction_amount_usd,txn_country,txn_hour,device_risk_score,new_device_flag,velocity_1h,velocity_24h,geo_distance_km,merchant_risk_score_x,is_night_flag,alert_generated,fraud_label,customer_match,merchant_match,age,tenure_months,segment,home_country,digital_only,kyc_risk_band,synthetic_identity_score,merchant_category,merchant_risk_score_y,channel_default,risk_score_v2,risk_category_v2,recommended_action,sla_priority,top_reason_codes,reason_code_1,reason_code_2,reason_code_3,reason_codes
T9008241,2025-04-06 20:27:00,C101279,M101279,Card Present,2.74,AE,18,0.268,0,0,2,82.8,0.374,0,0,0,True,True,29.0,1970-07-19,Affluent,US,0.0,Low,0.14,Luxury,0.673,P2P,2.3651,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated merchant risk', 'Geographic anomaly']",Elevated merchant risk,Geographic anomaly,,Elevated merchant risk | Geographic anomaly
T9033792,2025-04-10 02:10:00,C101280,M101280,Card Not Present,67.46,US,7,0.188,0,2,5,0.2,0.131,0,0,0,True,True,27.0,1970-06-26,Mass,AE,1.0,Medium,0.293,Travel,0.058,Card Present,14.56965,Low Risk,Monitor / sample audit,Weekly monitoring,['High short-term transaction velocity'],High short-term transaction velocity,,,High short-term transaction velocity
T9053018,2025-03-31 15:27:00,C101281,M101281,P2P,22.93,AE,21,0.102,0,3,5,7.7,0.323,0,0,0,True,True,20.0,1970-02-25,Mass,US,0.0,Low,0.142,Electronics,0.229,Wire,35.68945,Medium Risk,Analyst review,Review within 24 hours,"['High-risk transaction channel', 'High short-term transaction velocity']",High-risk transaction channel,High short-term transaction velocity,,High-risk transaction channel | High short-term transaction velocity
T9063999,2025-02-13 00:23:00,C101282,M101282,P2P,52.0,CA,0,0.071,0,0,2,1.5,0.364,1,0,0,False,True,,,,,,,,Fuel,0.341,Online Banking,28.09485,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High-risk transaction channel', 'Higher-risk merchant category']",Night-time transaction,High-risk transaction channel,Higher-risk merchant category,Night-time transaction | High-risk transaction channel | Higher-risk merchant category
T9064367,2025-01-22 16:37:00,C101283,M101283,Online Banking,22.43,BR,6,0.191,0,2,7,1164.3,0.075,0,0,0,True,True,41.0,1970-05-19,Affluent,UK,1.0,Low,0.382,Electronics,0.39,Card Present,33.0235,Medium Risk,Analyst review,Review within 24 hours,"['High short-term transaction velocity', 'Geographic anomaly']",High short-term transaction velocity,Geographic anomaly,,High short-term transaction velocity | Geographic anomaly
T9015897,2025-03-23 09:59:00,C101284,M101284,P2P,121.79,US,13,0.184,0,0,3,6.2,0.147,0,0,0,True,True,64.0,1970-05-29,Mass,CA,1.0,Low,0.061,Gaming,0.413,P2P,16.66105,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Higher-risk merchant category']",High-risk transaction channel,Higher-risk merchant category,,High-risk transaction channel | Higher-risk merchant category
T9055665,2025-01-30 11:43:00,C101285,M101285,P2P,116.55,IN,4,0.201,0,1,1,13.0,0.259,1,0,0,True,True,44.0,1970-07-08,Mass,US,0.0,Medium,0.056,Luxury,0.609,Card Not Present,33.7841,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High-risk transaction channel']",Night-time transaction,High-risk transaction channel,,Night-time transaction | High-risk transaction channel
T9043212,2025-02-27 23:41:00,C101286,M101286,P2P,133.9,US,7,0.28,0,0,3,16.5,0.121,0,0,0,True,True,53.0,1970-06-20,Mass,US,0.0,Low,0.191,Utilities,0.155,Card Present,16.83565,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Higher-risk merchant category']",High-risk transaction channel,Higher-risk merchant category,,High-risk transaction channel | Higher-risk merchant category
T9063462,2025-01-18 05:30:00,C101287,M101287,Wire,93.49,CA,14,0.181,0,1,3,3.3,0.229,0,0,0,True,True,44.0,1970-02-25,SME,US,1.0,Low,0.068,Digital Wallet,0.363,P2P,22.6291,Low Risk,Monitor / sample audit,Weekly monitoring,['High-risk transaction channel'],High-risk transaction channel,,,High-risk transaction channel
T9062639,2025-03-14 06:54:00,C101288,M101288,Card Not Present,29.27,IN,23,0.436,0,0,3,8.9,0.427,1,0,0,True,True,65.0,1970-03-01,Mass,US,1.0,Low,0.179,Electronics,0.264,Card Present,13.80655,Low Risk,Monitor / sample audit,Weekly monitoring,"['Night-time transaction', 'Elevated device risk', 'Elevated merchant risk']",Night-time transaction,Elevated device risk,Elevated merchant risk,Night-time transaction | Elevated device risk | Elevated merchant risk
T9035508,2025-03-05 05:35:00,C101289,M101289,Card Present,176.92,NG,1,0.145,0,1,1,3167.3,0.673,1,0,0,True,True,23.0,1970-04-24,Mass,US,0.0,Medium,0.299,Fuel,0.06,Card Not Present,66.14670000000001,High Risk,Immediate escalation,Same day review,"['Night-time transaction', 'Elevated merchant risk', 'Geographic anomaly']",Night-time transaction,Elevated merchant risk,Geographic anomaly,Night-time transaction | Elevated merchant risk | Geographic anomaly
T9036287,2025-02-01 17:27:00,C101290,M101290,Card Present,14.91,SG,0,0.206,0,1,5,68.2,0.315,1,0,0,True,True,71.0,1970-07-09,Mass,US,1.0,Medium,0.231,Electronics,0.469,Wire,21.62175,Low Risk,Monitor / sample audit,Weekly monitoring,"['Night-time transaction', 'Geographic anomaly']",Night-time transaction,Geographic anomaly,,Night-time transaction | Geographic anomaly
T9039533,2025-04-04 06:25:00,C101291,M101291,Card Not Present,216.76,IN,1,0.556,0,2,6,1.1,0.479,1,0,0,False,True,,,,,,,,Marketplace,0.145,Card Present,27.22735,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'Elevated device risk', 'Elevated merchant risk']",Night-time transaction,Elevated device risk,Elevated merchant risk,Night-time transaction | Elevated device risk | Elevated merchant risk
T9018928,2025-02-11 01:08:00,C101292,M101292,Card Not Present,40.63,UK,4,0.154,1,1,3,12.7,0.313,1,0,0,True,True,36.0,1970-03-05,Mass,SG,1.0,Medium,0.107,Luxury,0.604,Card Not Present,37.77595,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Night-time transaction']",New device activity,Night-time transaction,,New device activity | Night-time transaction
T9034981,2025-04-07 14:55:00,C101293,M101293,Card Present,67.56,IN,21,0.342,0,5,13,35.5,0.136,0,0,0,True,True,62.0,1970-03-26,Affluent,US,1.0,Low,0.408,Electronics,0.052,P2P,37.1384,Medium Risk,Analyst review,Review within 24 hours,['High short-term transaction velocity'],High short-term transaction velocity,,,High short-term transaction velocity
T9042214,2025-03-13 06:15:00,C101294,M101294,P2P,72.8,AE,14,0.279,0,2,6,621.6,0.319,0,0,0,True,True,23.0,1970-03-16,Mass,US,1.0,Medium,0.185,Digital Wallet,0.291,Card Not Present,39.4416,Medium Risk,Analyst review,Review within 24 hours,"['High-risk transaction channel', 'High short-term transaction velocity', 'Geographic anomaly']",High-risk transaction channel,High short-term transaction velocity,Geographic anomaly,High-risk transaction channel | High short-term transaction velocity | Geographic anomaly
T9055793,2025-01-26 05:25:00,C101295,M101295,Online Banking,45.81,AE,22,0.021,0,1,3,5.5,0.183,0,0,0,True,True,65.0,1970-02-08,Mass,US,0.0,Medium,0.26,Telecom,0.24,Wire,7.6152,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9007255,2025-01-21 16:18:00,C101296,M101296,Online Banking,57.89,CA,18,0.128,0,2,4,16.9,0.228,0,0,0,False,True,,,,,,,,Grocery,0.163,Wire,14.319700000000001,Low Risk,Monitor / sample audit,Weekly monitoring,['High short-term transaction velocity'],High short-term transaction velocity,,,High short-term transaction velocity
T9059742,2025-02-03 04:09:00,C101297,M101297,Card Not Present,64.46,US,8,0.063,0,1,3,24.2,0.137,0,0,0,True,True,65.0,1970-01-21,Mass,UK,1.0,Low,0.014,Digital Wallet,0.612,Card Not Present,7.8993,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9064922,2025-03-30 18:24:00,C101298,M101298,Card Present,66.93,US,22,0.196,0,1,3,0.4,0.37,0,0,0,True,True,41.0,1970-05-03,Mass,SG,1.0,Medium,0.174,Gaming,0.171,Wire,7.6105,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated merchant risk', 'Higher-risk merchant category']",Elevated merchant risk,Higher-risk merchant category,,Elevated merchant risk | Higher-risk merchant category
T9022826,2025-02-20 14:27:00,C101299,M101299,P2P,234.15,US,8,0.151,0,0,3,62.7,0.39,0,0,0,True,True,29.0,1970-04-30,Mass,US,0.0,Low,0.4,Grocery,0.353,Card Present,17.53675,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Elevated merchant risk', 'Geographic anomaly']",High-risk transaction channel,Elevated merchant risk,Geographic anomaly,High-risk transaction channel | Elevated merchant risk | Geographic anomaly
T9043029,2025-04-03 05:53:00,C101300,M101300,Card Not Present,16.74,SG,23,0.148,0,0,3,25.5,0.309,1,0,0,False,True,,,,,,,,Luxury,0.292,Wire,13.96585,Low Risk,Monitor / sample audit,Weekly monitoring,['Night-time transaction'],Night-time transaction,,,Night-time transaction
T9061562,2025-01-08 07:25:00,C101301,M101301,P2P,53.8,US,11,0.262,0,1,4,15.0,0.269,0,0,0,True,True,44.0,1970-07-19,SME,US,1.0,Low,0.152,Marketplace,0.247,Card Present,23.330849999999998,Low Risk,Monitor / sample audit,Weekly monitoring,['High-risk transaction channel'],High-risk transaction channel,,,High-risk transaction channel
T9050218,2025-01-02 21:32:00,C101302,M101302,Card Not Present,61.76,CA,14,0.329,1,0,4,28.3,0.07,0,0,0,True,True,57.0,1970-01-31,Mass,CA,1.0,Low,0.048,Marketplace,0.316,Online Banking,20.517249999999997,Low Risk,Monitor / sample audit,Weekly monitoring,['New device activity'],New device activity,,,New device activity
T9052386,2025-01-16 04:08:00,C101303,M101303,Card Present,190.54,IN,16,0.352,1,1,5,4.6,0.364,0,0,0,True,True,54.0,1970-04-18,Mass,US,1.0,Medium,0.079,Luxury,0.359,Wire,26.7116,Medium Risk,Analyst review,Review within 24 hours,['New device activity'],New device activity,,,New device activity
T9024743,2025-03-30 21:04:00,C101304,M101304,Card Present,105.87,IN,16,0.065,0,2,7,5.0,0.721,0,0,0,True,True,63.0,1970-07-19,Mass,US,1.0,Low,0.112,Luxury,0.136,Card Present,15.699399999999999,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated merchant risk', 'High short-term transaction velocity']",Elevated merchant risk,High short-term transaction velocity,,Elevated merchant risk | High short-term transaction velocity
T9021937,2025-03-21 09:44:00,C101305,M101305,Card Present,18.24,US,16,0.386,0,1,7,13.6,0.413,0,0,0,True,True,41.0,1970-03-05,Mass,AE,0.0,Medium,0.139,Digital Wallet,0.308,Online Banking,9.86245,Low Risk,Monitor / sample audit,Weekly monitoring,['Elevated merchant risk'],Elevated merchant risk,,,Elevated merchant risk
T9035589,2025-04-12 19:09:00,C101306,M101306,Card Not Present,54.7,US,5,0.769,0,3,6,11.7,0.08,1,0,0,False,True,,,,,,,,Travel,0.213,Online Banking,33.37975,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'Elevated device risk', 'High short-term transaction velocity']",Night-time transaction,Elevated device risk,High short-term transaction velocity,Night-time transaction | Elevated device risk | High short-term transaction velocity
T9048989,2025-04-18 17:03:00,C101307,M101307,Card Present,200.95,UK,2,0.158,0,1,3,9.5,0.332,1,0,0,True,True,31.0,1970-06-26,Mass,IN,1.0,Low,0.058,Marketplace,0.187,Online Banking,19.7318,Low Risk,Monitor / sample audit,Weekly monitoring,['Night-time transaction'],Night-time transaction,,,Night-time transaction
T9027614,2025-03-02 08:23:00,C101308,M101308,Card Present,32.81,CA,18,0.025,0,2,7,5.9,0.08,0,0,0,True,True,63.0,1970-07-20,SME,CA,1.0,Low,0.199,Gaming,0.323,P2P,15.60675,Low Risk,Monitor / sample audit,Weekly monitoring,"['High short-term transaction velocity', 'Higher-risk merchant category']",High short-term transaction velocity,Higher-risk merchant category,,High short-term transaction velocity | Higher-risk merchant category
T9034025,2025-04-23 02:02:00,C101309,M101309,Card Not Present,50.48,CA,19,0.227,0,1,4,23.2,0.319,0,0,0,True,True,65.0,1970-04-15,Affluent,US,0.0,Low,0.057,Telecom,0.072,Wire,8.4526,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9010241,2025-04-01 11:51:00,C101310,M101310,P2P,336.17,SG,6,0.294,0,1,7,169.3,0.225,0,0,0,True,True,42.0,1970-01-05,Mass,US,0.0,Low,0.024,Travel,0.618,Card Present,27.14675,Medium Risk,Analyst review,Review within 24 hours,"['High-risk transaction channel', 'Geographic anomaly']",High-risk transaction channel,Geographic anomaly,,High-risk transaction channel | Geographic anomaly
T9018911,2025-04-10 17:41:00,C101311,M101311,Online Banking,202.12,IN,6,0.498,0,0,1,26.2,0.191,0,0,0,True,True,34.0,1970-07-21,Affluent,US,0.0,Low,0.069,Telecom,0.281,P2P,1.04615,Low Risk,Monitor / sample audit,Weekly monitoring,['Elevated device risk'],Elevated device risk,,,Elevated device risk
T9029857,2025-02-20 19:34:00,C101312,M101312,Card Not Present,131.83,SG,11,0.424,0,1,5,0.8,0.221,0,0,0,False,True,,,,,,,,Telecom,0.39,P2P,8.651150000000001,Low Risk,Monitor / sample audit,Weekly monitoring,['Elevated device risk'],Elevated device risk,,,Elevated device risk
T9013312,2025-03-12 15:15:00,C101313,M101313,Card Present,120.96,DE,22,0.339,0,1,5,453.6,0.291,0,0,0,True,True,23.0,1970-04-14,Mass,UK,1.0,Low,0.169,Electronics,0.377,Card Present,15.4324,Low Risk,Monitor / sample audit,Weekly monitoring,['Geographic anomaly'],Geographic anomaly,,,Geographic anomaly
T9020179,2025-01-29 02:06:00,C101314,M101314,Card Not Present,181.95,US,23,0.05,0,2,5,42.7,0.354,1,0,0,False,True,,,,,,,,Travel,0.158,Card Not Present,27.2061,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High short-term transaction velocity', 'Geographic anomaly']",Night-time transaction,High short-term transaction velocity,Geographic anomaly,Night-time transaction | High short-term transaction velocity | Geographic anomaly
T9010840,2025-02-10 15:26:00,C101315,M101315,Card Not Present,21.78,US,14,0.504,1,1,2,6.0,0.033,0,0,0,True,True,45.0,1970-01-24,Mass,CA,1.0,Low,0.174,Electronics,0.177,Card Present,25.22095,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Elevated device risk']",New device activity,Elevated device risk,,New device activity | Elevated device risk
T9018858,2025-02-25 03:50:00,C101316,M101316,P2P,109.88,US,3,0.128,0,1,5,6.3,0.068,1,0,0,True,True,60.0,1970-06-25,Affluent,US,0.0,Low,0.155,Gaming,0.174,Online Banking,35.636700000000005,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High-risk transaction channel', 'Higher-risk merchant category']",Night-time transaction,High-risk transaction channel,Higher-risk merchant category,Night-time transaction | High-risk transaction channel | Higher-risk merchant category
T9028237,2025-01-14 00:50:00,C101317,M101317,Card Present,35.41,SG,8,0.306,0,3,7,8.8,0.136,0,0,0,True,True,33.0,1970-05-12,Mass,SG,1.0,Medium,0.271,Gaming,0.19,Online Banking,21.728900000000003,Low Risk,Monitor / sample audit,Weekly monitoring,"['High short-term transaction velocity', 'Higher-risk merchant category']",High short-term transaction velocity,Higher-risk merchant category,,High short-term transaction velocity | Higher-risk merchant category
T9064430,2025-04-17 08:28:00,C101318,M101318,P2P,16.63,SG,12,0.261,0,1,3,2.0,0.213,0,0,0,False,True,,,,,,,,Travel,0.425,P2P,22.627200000000002,Low Risk,Monitor / sample audit,Weekly monitoring,['High-risk transaction channel'],High-risk transaction channel,,,High-risk transaction channel
T9045571,2025-03-22 21:26:00,C101319,M101319,Card Present,264.26,US,23,0.432,1,2,5,7.7,0.612,1,1,0,True,True,31.0,1970-02-22,Mass,UK,0.0,Medium,0.135,Gaming,0.097,Online Banking,44.81529999999999,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Night-time transaction', 'Elevated device risk']",New device activity,Night-time transaction,Elevated device risk,New device activity | Night-time transaction | Elevated device risk
T9026629,2025-04-01 11:45:00,C101320,M101320,Card Not Present,43.92,NG,11,0.473,0,0,2,2777.3,0.449,0,0,0,True,True,62.0,1970-05-10,Mass,AE,1.0,Low,0.178,Utilities,0.554,Card Not Present,42.8451,Medium Risk,Analyst review,Review within 24 hours,"['Elevated device risk', 'Elevated merchant risk', 'Geographic anomaly']",Elevated device risk,Elevated merchant risk,Geographic anomaly,Elevated device risk | Elevated merchant risk | Geographic anomaly
T9023271,2025-02-21 02:43:00,C101321,M101321,P2P,145.15,IN,11,0.24,0,2,8,2577.5,0.213,0,0,0,True,True,64.0,1970-01-14,Mass,US,1.0,Medium,0.288,Digital Wallet,0.162,P2P,69.75445,High Risk,Immediate escalation,Same day review,"['High-risk transaction channel', 'High short-term transaction velocity', 'Geographic anomaly']",High-risk transaction channel,High short-term transaction velocity,Geographic anomaly,High-risk transaction channel | High short-term transaction velocity | Geographic anomaly
T9027346,2025-04-09 11:55:00,C101322,M101322,Card Not Present,28.73,AE,19,0.148,0,1,1,2.2,0.225,0,0,0,True,True,63.0,1970-02-09,Mass,UK,1.0,Low,0.278,Travel,0.449,Card Not Present,6.603750000000001,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9013551,2025-04-19 05:50:00,C101323,M101323,P2P,11.15,US,21,0.375,0,2,2,1.9,0.171,0,0,0,True,True,67.0,1970-01-20,Mass,US,1.0,Low,0.042,Electronics,0.315,Online Banking,28.1479,Medium Risk,Analyst review,Review within 24 hours,"['High-risk transaction channel', 'High short-term transaction velocity']",High-risk transaction channel,High short-term transaction velocity,,High-risk transaction channel | High short-term transaction velocity
T9048304,2025-02-26 08:42:00,C101324,M101324,Online Banking,47.08,UK,6,0.553,0,2,3,6.8,0.291,0,0,0,False,True,,,,,,,,Telecom,0.079,Online Banking,13.783900000000001,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'High short-term transaction velocity']",Elevated device risk,High short-term transaction velocity,,Elevated device risk | High short-term transaction velocity
T9013077,2025-03-30 22:07:00,C101325,M101325,Card Present,31.11,US,21,0.202,0,1,4,25.2,0.191,0,0,0,True,True,46.0,1970-04-27,Mass,US,1.0,Low,0.212,Fuel,0.442,P2P,8.45715,Low Risk,Monitor / sample audit,Weekly monitoring,['Higher-risk merchant category'],Higher-risk merchant category,,,Higher-risk merchant category
T9028905,2025-03-18 11:14:00,C101326,M101326,Card Not Present,116.15,GB,9,0.25,1,0,2,1670.1,0.329,0,0,0,True,True,76.0,1970-05-19,Mass,US,0.0,Medium,0.065,Marketplace,0.365,Card Not Present,44.163349999999994,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Geographic anomaly']",New device activity,Geographic anomaly,,New device activity | Geographic anomaly
T9024228,2025-01-24 00:46:00,C101327,M101327,Card Not Present,8.53,US,22,0.634,0,2,2,14.2,0.121,0,0,0,True,True,35.0,1970-06-23,Mass,SG,0.0,Low,0.147,Electronics,0.148,Card Present,13.38965,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'High short-term transaction velocity']",Elevated device risk,High short-term transaction velocity,,Elevated device risk | High short-term transaction velocity
T9018067,2025-02-17 00:24:00,C101328,M101328,Card Present,19.21,IN,14,0.138,0,3,5,89.5,0.241,0,0,0,True,True,47.0,1970-02-16,SME,US,1.0,High,0.071,Digital Wallet,0.519,Wire,21.91315,Low Risk,Monitor / sample audit,Weekly monitoring,"['High short-term transaction velocity', 'Geographic anomaly']",High short-term transaction velocity,Geographic anomaly,,High short-term transaction velocity | Geographic anomaly
T9030946,2025-04-18 20:15:00,C101329,M101329,Card Present,14.68,US,18,0.555,0,0,3,32.4,0.092,0,0,0,False,True,,,,,,,,Telecom,0.319,Wire,2.13855,Low Risk,Monitor / sample audit,Weekly monitoring,['Elevated device risk'],Elevated device risk,,,Elevated device risk
T9063433,2025-03-09 19:19:00,C101330,M101330,P2P,20.35,AE,22,0.224,0,0,1,32.3,0.442,0,0,0,True,True,29.0,1970-02-22,Mass,IN,1.0,Medium,0.105,Gaming,0.092,Card Present,16.1068,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Elevated merchant risk', 'Higher-risk merchant category']",High-risk transaction channel,Elevated merchant risk,Higher-risk merchant category,High-risk transaction channel | Elevated merchant risk | Higher-risk merchant category
T9035600,2025-01-09 21:39:00,C101331,M101331,P2P,57.76,IN,11,0.352,1,1,3,3.3,0.136,0,0,0,False,True,,,,,,,,Fuel,0.203,Wire,40.6579,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'High-risk transaction channel', 'Higher-risk merchant category']",New device activity,High-risk transaction channel,Higher-risk merchant category,New device activity | High-risk transaction channel | Higher-risk merchant category
T9035621,2025-03-28 20:56:00,C101332,M101332,Card Present,23.63,UK,15,0.186,0,5,5,10.6,0.313,0,0,0,True,True,54.0,1970-07-24,Mass,AE,0.0,Low,0.158,Telecom,0.071,Online Banking,32.75245,Medium Risk,Analyst review,Review within 24 hours,['High short-term transaction velocity'],High short-term transaction velocity,,,High short-term transaction velocity
T9035345,2025-03-22 06:30:00,C101333,M101333,Card Not Present,26.84,US,17,0.175,0,0,1,24.5,0.415,0,0,0,True,True,28.0,1970-07-17,Mass,US,1.0,Low,0.186,Travel,0.578,Card Not Present,0.9735,Low Risk,Monitor / sample audit,Weekly monitoring,['Elevated merchant risk'],Elevated merchant risk,,,Elevated merchant risk
T9064084,2025-03-30 16:18:00,C101334,M101334,Card Present,101.85,BR,6,0.193,0,3,6,3264.3,0.134,0,0,0,True,True,29.0,1970-03-10,Mass,US,0.0,Low,0.081,Gaming,0.302,P2P,70.03285,High Risk,Immediate escalation,Same day review,"['High short-term transaction velocity', 'Geographic anomaly', 'Higher-risk merchant category']",High short-term transaction velocity,Geographic anomaly,Higher-risk merchant category,High short-term transaction velocity | Geographic anomaly | Higher-risk merchant category
T9042389,2025-03-13 08:56:00,C101335,M101335,Card Not Present,57.12,AE,20,0.223,0,1,5,38.1,0.363,0,0,0,True,True,43.0,1970-01-11,Mass,AE,1.0,Low,0.169,Luxury,0.109,P2P,9.1817,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9031869,2025-03-18 21:45:00,C101336,M101336,Card Not Present,11.8,AE,13,0.175,0,2,4,32.2,0.521,0,0,0,True,True,37.0,1970-05-15,Mass,US,1.0,Medium,0.278,Telecom,0.021,Card Present,14.6049,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated merchant risk', 'High short-term transaction velocity']",Elevated merchant risk,High short-term transaction velocity,,Elevated merchant risk | High short-term transaction velocity
T9058429,2025-04-03 04:21:00,C101337,M101337,Online Banking,136.29,UK,3,0.252,0,1,3,9.9,0.073,1,0,0,True,True,60.0,1970-05-20,Affluent,US,0.0,Low,0.42,Electronics,0.209,Wire,19.72245,Low Risk,Monitor / sample audit,Weekly monitoring,['Night-time transaction'],Night-time transaction,,,Night-time transaction
T9001786,2025-01-31 04:56:00,C101338,M101338,P2P,40.44,CA,16,0.204,0,0,1,52.8,0.286,0,0,0,True,True,37.0,1970-03-25,SME,US,1.0,Medium,0.272,Luxury,0.637,Online Banking,16.3859,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Geographic anomaly']",High-risk transaction channel,Geographic anomaly,,High-risk transaction channel | Geographic anomaly
T9036383,2025-02-09 09:22:00,C101339,M101339,Wire,159.22,US,18,0.323,0,1,1,6.9,0.218,0,0,0,True,True,48.0,1970-06-10,Affluent,US,0.0,Medium,0.051,Fuel,0.218,Card Not Present,21.71695,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Higher-risk merchant category']",High-risk transaction channel,Higher-risk merchant category,,High-risk transaction channel | Higher-risk merchant category
T9016051,2025-02-18 18:16:00,C101340,M101340,Online Banking,45.9,US,4,0.113,0,2,3,66.1,0.19,1,0,0,True,True,66.0,1970-03-05,Mass,IN,1.0,Medium,0.12,Gaming,0.101,P2P,26.54825,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High short-term transaction velocity', 'Geographic anomaly']",Night-time transaction,High short-term transaction velocity,Geographic anomaly,Night-time transaction | High short-term transaction velocity | Geographic anomaly
T9044842,2025-02-21 03:08:00,C101341,M101341,Card Not Present,54.43,IN,1,0.544,1,3,5,9.7,0.155,1,0,0,True,True,23.0,1970-07-15,Mass,IN,1.0,Low,0.026,Luxury,0.191,P2P,50.80475,High Risk,Immediate escalation,Same day review,"['New device activity', 'Night-time transaction', 'Elevated device risk']",New device activity,Night-time transaction,Elevated device risk,New device activity | Night-time transaction | Elevated device risk
T9025246,2025-04-15 23:42:00,C101342,M101342,Card Not Present,137.55,IN,12,0.117,1,0,2,771.7,0.052,0,0,0,False,True,,,,,,,,Electronics,0.136,Online Banking,30.61255,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Geographic anomaly']",New device activity,Geographic anomaly,,New device activity | Geographic anomaly
T9019593,2025-02-18 09:05:00,C101343,M101343,Online Banking,330.12,SG,18,0.3,0,1,3,4.7,0.355,0,0,0,True,True,39.0,1970-06-16,Mass,AE,1.0,Low,0.401,Digital Wallet,0.117,Wire,7.69875,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9022708,2025-04-25 03:57:00,C101344,M101344,Wire,114.71,US,4,0.068,0,1,3,8.1,0.155,1,0,0,True,True,51.0,1970-02-04,Mass,UK,1.0,Low,0.269,Fuel,0.19,Online Banking,34.66175,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High-risk transaction channel', 'Higher-risk merchant category']",Night-time transaction,High-risk transaction channel,Higher-risk merchant category,Night-time transaction | High-risk transaction channel | Higher-risk merchant category
T9030142,2025-03-24 21:43:00,C101345,M101345,P2P,33.54,CA,19,0.478,0,0,4,22.8,0.183,0,0,0,True,True,45.0,1970-02-15,Mass,US,0.0,Low,0.274,Luxury,0.304,P2P,17.48895,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Elevated device risk']",High-risk transaction channel,Elevated device risk,,High-risk transaction channel | Elevated device risk
T9027975,2025-04-21 12:56:00,C101346,M101346,Card Not Present,14.45,US,3,0.23,0,0,1,12.3,0.216,1,0,0,True,True,25.0,1970-04-16,Mass,CA,1.0,Low,0.156,Grocery,0.137,Card Present,12.7744,Low Risk,Monitor / sample audit,Weekly monitoring,['Night-time transaction'],Night-time transaction,,,Night-time transaction
T9048178,2025-04-20 05:36:00,C101347,M101347,Wire,20.59,CA,11,0.373,0,1,5,0.7,0.261,0,0,0,True,True,20.0,1970-06-23,Affluent,AE,1.0,Low,0.202,Gaming,0.388,Card Present,23.6429,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Higher-risk merchant category']",High-risk transaction channel,Higher-risk merchant category,,High-risk transaction channel | Higher-risk merchant category
T9026743,2025-04-20 02:49:00,C101348,M101348,Online Banking,57.51,AE,12,0.113,0,3,6,18.9,0.075,0,0,0,False,True,,,,,,,,Gaming,0.083,P2P,21.323,Low Risk,Monitor / sample audit,Weekly monitoring,"['High short-term transaction velocity', 'Higher-risk merchant category']",High short-term transaction velocity,Higher-risk merchant category,,High short-term transaction velocity | Higher-risk merchant category
